material_id,formula_pretty,density,energy_per_atom,efermi,energy_above_hull,band_gap,e_total,formula,data.Sᵉ.p.v.value,data.Sᵉ.p.T.value,data.σᵉ.p.v.value,data.σᵉ.p.T.value,data.κₑᵉ.p.v.value,data.κₑᵉ.p.T.value,ZT
mp-3795,NaZnF3,3.921646485,-4.43257325,-1.12786622,0,3.7676,11.08873467,NaZnF3,1259.22,1300,1506.53,100,0.358313,100,0.067793529
mp-17129,Sr3(AlN2)2,4.289649945,-6.264751255,3.81797455,0,2.1275,19.48698347,Sr3(AlN2)2,1172.19,700,777.892,100,0.118678,100,0.054949805
mp-561189,Rb6Si10O23,2.876474207,-7.465535612,0.60745097,0.012998631,4.0165,9.54903195,Rb6Si10O23,1318.29,1200,397.944,100,0.0458477,100,0.143163694
mp-568638,Y3CuSiSe7,5.390983812,-6.036944946,3.95541611,0,1.5105,18.23723916,Y3CuSiSe7,1062.34,600,3109.57,100,0.64373,100,0.029565973
mp-20727,Sb2PbO6,6.619821635,-6.529018068,4.21017737,0,1.9262,17.16319592,Sb2PbO6,1078.14,900,3651.6,100,0.706594,100,0.044795542
mp-705676,K4MoO8,2.440282735,-5.38537821,1.6952874,0.481195869,0.5693,14.10151573,K4MoO8,1107.77,200,266.586,1300,0.0177753,200,0.21210312
mp-550714,PbO,7.885728661,-5.778854845,3.2435658,0.020525675,2.3054,10.67355063,PbO,1110.06,900,1638.31,100,0.298727,100,0.050394801
mp-18778,Zr(WO4)2,4.747219103,-9.286978048,-1.37414196,0.073756011,3.6052,12.33412881,Zr(WO4)2,1237.28,800,529.902,100,0.0457097,800,0.204526992
mp-569578,NbI5,4.301490583,-3.70069675,1.92175551,0,0.9677,8.830064367,NbI5,73.4605,100,8793.07,1300,7654.16,100,6.30E-08
mp-640889,Tm(CuTe)3,7.384697721,-4.446774479,6.07332841,0,0.4005,17.37732689,Tm(CuTe)3,757.704,200,6039.71,100,1.28536,100,0.007315247
mp-20289,NaInS2,3.881389208,-4.198859095,3.55978029,0,1.8237,16.00155776,NaInS2,1216.89,700,3861.07,100,0.807952,100,0.043176338
mp-775027,Li2Mn3CoO8,4.245571756,-7.493503158,2.16842586,0.030470525,0.2625,13.91451086,Li2Mn3CoO8,1004.64,300,1336.31,100,0.256847,100,0.01779927
mp-1714,FeSi2,4.958877558,-6.835854183,9.10604776,0,0.6966,44.95269148,FeSi2,814.693,400,4914.26,100,1.92471,100,0.006893037
mp-570081,CuI,5.687300656,-3.153565885,4.00901963,0.001116818,1.6315,8.041694163,CuI,1197.93,700,1221.08,100,0.196282,100,0.054468771
mp-684816,K2NaNb(OF2)2,3.140554824,-6.099493708,-0.07705812,0.088821391,2.3005,29.52135107,K2NaNb(OF2)2,1215.24,800,637.01,100,0.0472835,800,0.229291631
mp-39770,Zr2P3H4NO12,2.910967936,-7.811901355,0.18806936,0,4.0671,13.20338564,Zr2P3H4NO12,1245.76,1300,1149.94,100,0.230696,100,0.078663574
